"sample","BC1","BC2","BC3","BC4","BC5","BC6","BC7","BC12","BC9","BC10"
"ENSG00000110906.12",796,2160,922,2973,1715,1728,2047,867,939,644
"ENSG00000110911.14",782,1947,1366,3084,805,1879,1863,1399,1291,847
"ENSG00000110917.7",3501,4777,3480,16794,4449,4785,5584,1820,6575,2735
"ENSG00000110921.13",322,1540,534,812,857,429,570,198,787,655
"ENSG00000110925.6",1066,1446,685,1903,1992,1644,1209,451,868,368
"ENSG00000110931.18",680,1590,1250,2626,1186,2011,1436,915,1396,394
"ENSG00000110934.10",119,226,71,112,70,199,153,57,92,182
"ENSG00000110944.8",14,24,15,80,10,22,66,5,12,14
"ENSG00000110955.8",6990,17842,8046,20437,9195,14660,17484,12909,12894,8717
"ENSG00000110958.15",6810,24853,10642,16765,10727,18251,15731,8149,8004,7362
"ENSG00000110975.8",3,1,1,1,21,0,17,6,0,10
"ENSG00000110987.8",661,768,578,1135,445,584,549,377,692,77
"ENSG00000111011.17",1360,3772,1903,2501,1544,3154,3059,1140,1025,891
"ENSG00000111012.9",35,160,37,59,75,28,78,73,71,32
"ENSG00000111046.3",0,1,0,0,0,0,0,0,0,0
"ENSG00000111049.3",0,0,0,0,0,0,0,0,0,0
"ENSG00000111052.7",21,1244,367,29,51,54,359,43,23,57
"ENSG00000111057.10",2331,10046,16475,40872,34263,17057,14849,7638,5519,3904
"ENSG00000111058.7",190,87,66,1024,336,189,573,251,391,757
"ENSG00000111077.17",243,1186,776,1239,588,1762,562,280,386,527
"ENSG00000111087.9",13,6,9,11,13,9,177,5,10,16
"ENSG00000111110.11",217,1044,167,1809,574,598,998,584,2041,291
"ENSG00000111142.13",1659,2147,1255,2670,1497,2398,3289,1957,3159,1012
"ENSG00000111144.9",590,998,1362,2088,3910,2133,2054,458,2290,501
"ENSG00000111145.7",313,619,694,1030,535,1142,864,620,355,635
"ENSG00000111181.12",11,12,13,31,30,17,23,14,16,25
"ENSG00000111186.12",16,31,14,147,143,74,72,44,13,12
"ENSG00000111196.9",1437,2590,450,1611,1213,1223,1618,1071,674,687
"ENSG00000111199.10",7,25,11,54,43,42,132,34,31,35
"ENSG00000111203.11",273,611,335,569,605,543,495,239,339,151
"ENSG00000111206.12",550,834,463,619,729,981,2066,471,1504,177
"ENSG00000111215.11",0,5,4,0,1,4,8,0,2,0
"ENSG00000111218.11",0,11,0,1,55,1,12,1,4,0
"ENSG00000111224.13",91,266,158,306,178,348,424,142,351,161
"ENSG00000111229.15",3891,10325,3717,6530,8511,4541,6074,5428,2085,4044
"ENSG00000111231.8",457,1826,472,1153,465,1268,1507,910,544,573
"ENSG00000111237.18",1238,6650,1205,2109,1450,2961,3812,2441,1035,2329
"ENSG00000111241.2",0,0,0,0,0,0,0,0,0,0
"ENSG00000111245.14",0,0,0,1,0,0,5,0,0,0
"ENSG00000111247.14",472,834,256,354,273,712,1193,716,539,279
"ENSG00000111249.13",69,2,1,3,29,4,62,1,11,9
"ENSG00000111252.10",343,615,436,529,225,510,1019,218,380,288
"ENSG00000111254.7",10,10,10,14,56,111,53,15,7,7
"ENSG00000111261.13",300,364,689,2952,381,996,622,535,644,607
"ENSG00000111262.5",3,0,1,2,5,2,6,1,1,1
"ENSG00000111266.8",1255,1080,4175,3413,876,3121,1525,1162,2687,825
"ENSG00000111269.2",285,1558,1748,2832,615,2894,1469,978,1189,757
"ENSG00000111271.14",189,816,309,710,511,554,640,252,190,143
"ENSG00000111275.12",1450,391,152,725,528,492,794,302,737,1080
"ENSG00000111276.10",3332,6453,267,3713,898,5351,2292,1335,971,688
"ENSG00000111291.8",15,24,13,20,24,3,47,1,20,12
"ENSG00000111300.9",436,1111,567,776,530,900,1603,562,859,516
"ENSG00000111305.18",4,37,206,21,16,3,12,1,0,4
"ENSG00000111319.12",51,112,81,3446,1521,520,1674,1076,1832,1099
"ENSG00000111321.10",1164,2403,3826,3907,5066,1781,2541,1012,2394,800
"ENSG00000111325.16",5,14,7,7,2,16,27,1,16,6
"ENSG00000111328.6",2189,1252,760,3102,2144,1610,1637,557,1160,738
"ENSG00000111331.12",4802,2408,2651,7763,2194,2695,4153,780,3236,634
"ENSG00000111335.12",3712,371,878,5291,532,1206,2052,1960,2432,668
"ENSG00000111339.10",0,17,6,3,0,50,1,1,3,6
"ENSG00000111341.9",1147,1529,831,90346,3942,21086,13958,5133,7726,14287
"ENSG00000111344.11",194,5,1,4,101,9,186,227,30,55
"ENSG00000111348.8",1706,2613,1411,4540,2480,2995,2698,7849,3879,3389
"ENSG00000111358.13",305,1018,364,1196,394,1193,1111,741,536,455
"ENSG00000111361.12",766,2314,876,1999,976,1385,1529,721,825,785
"ENSG00000111364.15",260,1058,597,637,363,693,1472,484,427,261
"ENSG00000111371.15",3515,7229,7715,22984,1878,334,9903,2818,7618,4725
"ENSG00000111404.6",9,2,4,4,1,0,2,4,4,48
"ENSG00000111405.8",0,34,2,12,3,1,1,0,5,1
"ENSG00000111412.5",490,1427,871,3381,597,1309,2566,966,1264,944
"ENSG00000111424.10",1013,434,420,818,441,454,346,172,702,171
"ENSG00000111432.4",0,0,3,25,65,13,21,111,10,6
"ENSG00000111445.13",681,1411,454,676,666,797,878,340,245,179
"ENSG00000111450.13",94,913,183,300,378,599,527,220,53,180
"ENSG00000111452.12",9,14,10,13,9,32,12,2,14,25
"ENSG00000111481.9",2383,6660,4824,11743,5996,6330,4275,5420,2606,2184
"ENSG00000111490.12",116,299,292,550,216,106,185,273,633,136
"ENSG00000111530.12",1900,5577,2415,4846,5305,4120,5360,2389,3541,1909
"ENSG00000111536.4",0,0,0,1,0,1,0,1,0,0
"ENSG00000111537.4",11,25,2,1,0,22,7,7,0,50
"ENSG00000111540.15",1316,3385,3076,7987,4398,5473,3433,2049,3739,1702
"ENSG00000111554.14",192,459,162,503,551,561,328,139,224,183
"ENSG00000111581.9",1093,1603,835,1140,3712,1195,1878,604,901,458
"ENSG00000111596.11",957,1662,941,1646,3599,1820,1691,955,1623,630
"ENSG00000111602.11",1026,3088,962,1536,1160,1994,2178,451,744,295
"ENSG00000111605.16",1373,2406,1154,2716,1942,2725,3138,1007,1593,800
"ENSG00000111615.13",372,1199,901,1272,699,1296,1206,557,1019,540
"ENSG00000111639.7",2573,6013,1996,5978,4794,3637,5374,3443,3112,3030
"ENSG00000111640.14",12338,15086,21049,39603,75028,30282,51095,20355,40623,11420
"ENSG00000111641.11",1004,1245,1017,1372,2524,759,1464,333,1342,399
"ENSG00000111642.14",3246,4307,3418,6265,5842,2934,6127,1086,3721,1131
"ENSG00000111644.7",8,40,19,43,70,55,52,35,53,17
"ENSG00000111647.12",270,925,382,1103,359,895,1264,782,898,282
"ENSG00000111652.9",483,2252,1742,3405,2288,2075,2403,1265,1484,873
"ENSG00000111653.19",344,1508,415,1767,483,1230,1182,690,537,604
"ENSG00000111664.10",3,20,4,22,13,71,32,3,8,8
"ENSG00000111665.11",694,1349,628,517,857,774,1182,545,600,203
"ENSG00000111666.10",294,1381,331,1596,179,1889,2212,394,2793,1007
"ENSG00000111667.13",1150,2254,1371,4126,2314,1752,3012,805,3338,752
"ENSG00000111669.14",9549,14267,8251,20318,17242,12840,23220,8099,12978,4930
"ENSG00000111670.14",588,1318,432,937,620,1289,1732,998,2202,1317
"ENSG00000111671.9",170,665,64,596,367,427,428,169,287,291
"ENSG00000111674.8",134,1005,1796,5861,432,2305,2548,94,831,126
"ENSG00000111676.14",1610,1723,2337,5036,4418,3334,3229,816,3821,640
"ENSG00000111678.10",358,2563,862,748,1108,1026,1225,437,1043,991
"ENSG00000111679.16",565,2395,974,1533,1360,1279,1273,433,694,550
"ENSG00000111684.10",40,144,139,532,97,301,282,113,580,135
"ENSG00000111696.11",180,321,166,389,247,449,330,95,525,80
"ENSG00000111700.12",0,0,0,0,1,0,0,0,0,0
"ENSG00000111701.6",0,0,0,0,0,2,0,1,0,0
"ENSG00000111704.10",1,0,1,1,0,6,1135,5,0,1
"ENSG00000111707.11",954,2792,1219,2973,1498,2144,2275,878,1564,574
"ENSG00000111711.9",942,3623,904,2146,601,2279,2837,1695,1315,1939
"ENSG00000111713.2",4,1,0,0,0,0,0,0,0,5
"ENSG00000111716.12",6934,787,1172,1384,379,1837,13674,7345,7899,4254
"ENSG00000111725.10",249,1767,775,1851,381,1231,719,318,406,312
"ENSG00000111726.12",1084,2593,879,2178,616,1253,1562,753,1618,655
"ENSG00000111727.11",83,565,201,377,166,822,402,362,364,325
"ENSG00000111728.10",21,98,13,66,92,173,41,46,61,53
"ENSG00000111729.14",1,0,0,3,3,7,4,4,2,4
"ENSG00000111731.12",657,2018,802,1459,308,1804,1662,684,1157,431
"ENSG00000111732.10",1,3,0,0,0,0,0,0,2,0
"ENSG00000111737.11",625,1048,1029,2202,1309,1157,1781,750,1073,619
"ENSG00000111752.10",181,467,260,450,259,498,2676,100,399,130
"ENSG00000111775.2",1564,8991,1720,1912,2626,2751,3513,852,1282,2271
"ENSG00000111780.8",0,0,0,0,0,0,0,0,0,0
"ENSG00000111783.12",1,0,0,1,0,0,1,0,0,0
"ENSG00000111785.19",223,698,403,458,221,699,580,190,342,164
"ENSG00000111786.8",608,2207,1275,2851,1431,2708,2226,1369,1372,875
"ENSG00000111788.10",76,401,110,130,137,211,283,45,98,63
"ENSG00000111790.13",557,1282,509,1442,877,1326,1189,780,740,599
"ENSG00000111796.3",15,51,12,11,0,46,47,8,16,114
"ENSG00000111799.20",433,928,892,8626,4802,6967,2193,3717,963,2058
"ENSG00000111801.15",192,330,143,836,128,621,388,233,321,338
"ENSG00000111802.13",849,2739,962,2752,1140,2086,1456,1529,976,1127
"ENSG00000111816.7",45,85,46,136,209,268,157,303,319,195
"ENSG00000111817.16",159,169,120,534,262,689,770,460,220,397
"ENSG00000111832.12",692,1516,794,1220,1620,1628,1448,1182,890,1557
"ENSG00000111834.12",8,16,9,10,11,34,9,3,9,17
"ENSG00000111837.11",11,21,10,29,14,71,25,8,20,9
"ENSG00000111843.13",1240,7529,1444,5404,2445,6165,4197,3977,2047,2433
"ENSG00000111845.4",422,663,329,927,349,593,804,611,639,437
"ENSG00000111846.16",28,18,25,233,84,40,814,240,40,278
"ENSG00000111850.10",131,303,64,64,227,152,230,159,83,132
"ENSG00000111859.16",190,163,125,336,391,746,212,282,291,207
"ENSG00000111860.13",54,143,76,151,62,74,193,31,44,71
"ENSG00000111863.12",457,24,1,11,18,27,25,8,9,30
"ENSG00000111875.7",703,681,389,515,901,452,868,830,269,561
"ENSG00000111877.17",174,292,266,301,182,321,360,281,285,143
"ENSG00000111879.18",73,215,133,97,33,99,271,31,102,24
"ENSG00000111880.15",415,497,251,449,454,419,698,331,166,195
"ENSG00000111885.6",289,2921,2195,859,487,993,718,610,434,794
"ENSG00000111886.10",0,5,5,9,0,8,8,1,1,4
"ENSG00000111897.6",1357,3685,6883,5204,4308,4137,2852,3430,3476,1656
"ENSG00000111906.17",715,1678,776,1009,1293,631,1710,1215,1041,1196
"ENSG00000111907.20",912,598,407,785,295,26,1061,1064,1056,773
"ENSG00000111911.6",388,675,796,1324,593,1034,838,1616,1172,671
"ENSG00000111912.19",278,289,176,380,168,302,399,464,285,394
"ENSG00000111913.17",57,100,37,71,20,85,91,42,66,171
"ENSG00000111961.17",423,303,983,511,751,1503,1011,361,1434,393
"ENSG00000111962.7",16,15,130,96,311,98,469,81,37,56
"ENSG00000111981.4",6,2,11,15,13,40,37,66,4,9
"ENSG00000112029.9",144,264,244,140,107,328,851,408,393,181
"ENSG00000112031.15",121,131,142,143,191,133,188,116,140,101
"ENSG00000112033.13",247,312,396,1463,1549,759,624,293,747,261
"ENSG00000112038.17",0,0,0,0,4,0,0,0,0,0
"ENSG00000112039.3",167,100,74,157,116,336,247,32,81,52
"ENSG00000112041.12",1,0,1,4,2,9,55,0,10,1
"ENSG00000112053.13",5,5,0,23,6,8,7,6,64,2
"ENSG00000112062.10",668,2272,807,2957,883,2682,1380,1330,1456,1046
"ENSG00000112077.15",0,1,0,0,0,0,0,6,0,0
"ENSG00000112078.13",898,1734,774,4552,1283,3995,1805,1942,2576,1197
"ENSG00000112079.8",728,1359,663,1849,1208,1320,892,866,859,538
"ENSG00000112081.16",7631,12069,7990,9814,8668,10063,10369,8255,4727,4627
"ENSG00000112096.16",2837,2776,1861,16009,3796,3795,2355,1904,4710,2839
"ENSG00000112110.9",1739,2174,1942,1383,4579,1317,2239,1528,1372,1197
"ENSG00000112115.5",0,0,0,0,0,0,0,0,0,1
"ENSG00000112116.9",0,0,0,1,0,0,0,0,0,0
"ENSG00000112118.18",1730,3513,2274,5359,2371,3372,4226,1174,2118,472
"ENSG00000112130.16",239,662,357,1401,315,826,631,335,490,372
"ENSG00000112137.17",63,47,19,74,77,79,135,19,265,49
"ENSG00000112139.14",13,91,10,533,107,568,79,35,75,10
"ENSG00000112144.15",312,1689,631,1146,488,1901,554,464,785,336
"ENSG00000112146.16",421,3507,984,3673,549,6320,1342,1482,1347,1111
"ENSG00000112149.9",172,291,151,581,214,357,367,213,148,292
"ENSG00000112159.11",1658,735,799,651,1084,556,4029,346,657,363
"ENSG00000112164.5",12,0,0,2,17,1,48,0,7,2
"ENSG00000112167.9",565,1565,807,1048,1386,852,547,533,730,500
"ENSG00000112175.7",6,4,0,2759,1,328,3,4,7,3
"ENSG00000112182.14",25,23,20,37,93,44,79,9,27,23
"ENSG00000112183.14",6,65,668,1010,10,189,213,5,43,7
"ENSG00000112186.11",84,738,987,1129,246,786,931,218,1386,102
"ENSG00000112195.8",2,3,1,3,1,1,6,1,2,9
"ENSG00000112200.16",469,1561,717,1369,889,1428,800,649,695,336
"ENSG00000112208.11",43,252,77,207,161,199,370,223,71,122
"ENSG00000112210.11",32,110,96,387,69,425,283,327,137,71
"ENSG00000112212.11",0,0,0,1,0,3,2,0,3,1
"ENSG00000112214.10",19,23,13,13,7,62,19,11,18,19
"ENSG00000112218.8",45,9,37,7,23,41,98,26,16,3
"ENSG00000112232.8",0,0,0,0,0,0,18,0,1,1
"ENSG00000112234.8",244,628,426,642,350,1188,646,984,390,202
"ENSG00000112237.12",1485,2052,1044,1107,2098,1412,3223,1983,762,1709
"ENSG00000112238.11",1,0,0,0,0,0,0,1,0,0
"ENSG00000112242.14",683,528,356,958,851,444,717,309,797,249
"ENSG00000112245.10",2146,3363,1878,2783,2801,4334,2859,2087,1913,2134
"ENSG00000112246.9",0,3,1,9,1,6,9,2,1,4
"ENSG00000112249.13",658,415,440,554,847,426,1580,363,399,315
"ENSG00000112273.6",0,2,0,1,2,0,0,0,0,0
"ENSG00000112276.13",17,334,13,50,34,47,64,26,16,10
"ENSG00000112280.15",11,7,5,1,32,5,39,16,1,0
"ENSG00000112282.17",249,690,826,673,542,750,701,472,861,538
"ENSG00000112290.12",603,383,175,266,738,227,496,140,26,44
"ENSG00000112293.14",1,17,3,26,1,34,53,4,37,10
"ENSG00000112294.12",159,571,191,1771,526,965,291,372,676,282
"ENSG00000112297.14",162,620,96,192,1941,292,792,627,1414,391
"ENSG00000112299.7",5,35,18,12,12,40,19,23,19,21
"ENSG00000112303.13",10,29,8,10,2,58,31,30,26,58
"ENSG00000112304.10",437,922,388,1410,781,999,611,471,687,482
"ENSG00000112305.14",28,27,48,107,56,93,135,70,163,33
"ENSG00000112306.7",13267,16428,13408,14454,25844,24257,43110,64221,43827,51825
"ENSG00000112308.12",2771,6426,4227,11362,5463,6648,5300,3622,4747,3323
"ENSG00000112309.10",3,3,4,5,2,7,13,0,4,2
"ENSG00000112312.9",494,1345,434,1016,307,1143,1446,541,500,714
"ENSG00000112319.17",3,0,0,2,26,9,3,1,1,1
"ENSG00000112320.11",13,22,21,36,84,61,53,10,18,25
"ENSG00000112333.11",3,0,0,0,3,0,1,1,0,1
"ENSG00000112335.14",2136,3218,2496,2947,5834,3245,3334,4698,1410,2484
"ENSG00000112337.10",0,0,0,0,0,0,0,0,0,0
"ENSG00000112339.14",956,1308,1124,1772,2196,1129,1389,1225,1310,699
"ENSG00000112343.10",240,313,77,1081,181,1176,542,665,535,423
"ENSG00000112357.12",105,421,310,390,290,340,260,372,562,234
"ENSG00000112365.4",258,230,320,280,457,319,360,178,151,123
"ENSG00000112367.10",247,610,255,645,430,373,550,406,324,237
"ENSG00000112378.11",448,2943,5298,3783,10673,1606,4356,3722,5317,6810
"ENSG00000112379.8",36,1687,5230,1785,3540,1303,1948,1296,3537,1629
"ENSG00000112394.16",136,5,3,20,86,20,69,30,2,29
"ENSG00000112406.4",701,428,475,987,1329,690,611,322,976,412
"ENSG00000112414.14",730,279,44,468,204,105,434,427,135,147
"ENSG00000112419.14",210,285,136,239,219,380,960,283,270,195
"ENSG00000112425.14",61,125,77,92,148,111,106,57,270,48
"ENSG00000112462.8",0,0,0,0,0,0,0,0,0,0
"ENSG00000112473.17",311,646,1149,5109,850,1178,1162,712,1026,664
"ENSG00000112486.15",3,1,0,1,0,0,3,1,0,2
"ENSG00000112494.9",21,0,0,0,1,0,9,0,0,0
"ENSG00000112499.12",0,0,0,0,0,1,5,1,0,1
"ENSG00000112511.17",119,446,678,1435,411,1125,506,148,354,180
"ENSG00000112514.15",2084,4491,2407,9368,2239,2758,1910,1864,790,733
"ENSG00000112530.11",1,6,1,11,15,21,2,16,8,5
"ENSG00000112531.16",1227,574,514,1146,621,1436,2292,1294,861,889
"ENSG00000112539.14",5,0,0,0,4,10,2,0,1,0
"ENSG00000112541.13",370,42,18,65,41,152,102,54,28,46
"ENSG00000112559.13",157,40,46,247,2967,244,723,457,2049,189
"ENSG00000112561.17",84,266,126,590,259,216,164,82,264,214
"ENSG00000112562.18",208,647,836,5133,2624,3934,252,2013,715,641
"ENSG00000112576.12",1367,1434,996,2600,1014,1218,589,333,742,533
"ENSG00000112578.9",596,732,654,1191,711,502,699,492,694,225
"ENSG00000112584.13",100,176,296,276,335,204,185,180,246,90
"ENSG00000112592.13",211,396,235,354,306,346,428,363,320,235
"ENSG00000112599.8",2,30,32,196,20,17,15,5,13,11
"ENSG00000112619.7",14,6,3,14,11,32,24,9,9,10
"ENSG00000112624.12",157,732,428,809,325,774,513,264,577,150
"ENSG00000112640.14",713,1024,1067,2536,832,1276,1177,558,1197,391
"ENSG00000112651.11",588,858,486,964,976,501,638,341,521,291
"ENSG00000112655.15",1562,183,171,2099,3893,985,2139,524,1500,662
"ENSG00000112658.7",568,683,976,2760,1496,1250,1185,701,1107,293
"ENSG00000112659.13",202,1050,317,726,290,1158,358,170,581,222
"ENSG00000112667.12",812,2089,347,1502,1167,1673,618,1373,1180,350
"ENSG00000112679.14",208,328,385,1264,439,1020,805,582,342,510
"ENSG00000112685.13",397,1179,822,2108,445,650,1371,426,481,221
"ENSG00000112695.11",2589,12071,5684,4358,6522,4268,8163,6341,2509,3649
"ENSG00000112697.15",1076,2654,2957,3972,4145,2645,2454,2759,2035,1355
"ENSG00000112699.10",379,441,321,974,846,234,521,611,288,343
"ENSG00000112701.17",962,1301,1585,1460,1396,1607,1911,1357,926,583
"ENSG00000112706.11",1,3,9,13,14,34,18,4,2,5
"ENSG00000112715.21",956,5951,1646,4267,845,4177,2171,932,1477,2843
"ENSG00000112739.16",1086,2151,986,2276,679,3642,2658,1298,1215,1262
"ENSG00000112742.9",651,469,382,160,834,301,1261,530,186,101
"ENSG00000112759.16",241,2163,2950,3835,600,2445,2329,1829,2694,1265
"ENSG00000112761.20",21,5,2,0,46,10,19,3,3,10
"ENSG00000112763.15",218,744,341,1858,275,1291,516,312,486,311
"ENSG00000112769.18",1927,713,696,1326,819,1073,741,682,360,543
"ENSG00000112773.15",347,437,147,1205,1402,434,339,212,298,287
"ENSG00000112782.15",53,60,83,29,5,55,60,19,50,91
"ENSG00000112787.12",972,2060,774,1037,2203,782,1767,463,1239,601
"ENSG00000112796.9",159,497,261,773,169,668,271,652,941,413
"ENSG00000112799.8",103,167,89,198,66,135,145,139,59,107
"ENSG00000112812.15",152,14,2,6,1,683,141,233,181,30
"ENSG00000112818.9",1,2,1,2,1,0,2,1,1,3
"ENSG00000112837.16",101,29,20,81,34,101,80,43,41,51
"ENSG00000112851.14",1338,2253,1542,3364,1798,3191,2261,759,1249,790
"ENSG00000112852.6",2,5,3,13,182,6,76,68,34,11
"ENSG00000112855.14",442,1154,466,1580,892,788,721,137,552,284
"ENSG00000112874.9",228,1072,567,1038,610,1208,993,496,259,232
"ENSG00000112877.7",152,227,47,111,97,112,303,25,187,30
"ENSG00000112893.9",554,1162,571,1317,236,4224,2156,679,955,468
"ENSG00000112902.11",74,1033,153,171,172,425,335,174,312,82
"ENSG00000112936.18",57,35,74,82,6,4,19,21,93,95
"ENSG00000112941.13",820,1672,540,1385,982,1170,1191,352,1365,335
"ENSG00000112964.13",32,298,115,50,54,236,1269,157,1171,748
"ENSG00000112972.14",480,663,425,1749,381,981,2906,613,986,359
"ENSG00000112977.15",1479,1937,1799,8015,2952,4222,2795,1540,5102,1751
"ENSG00000112981.4",36,355,91,735,184,438,112,114,15,8
"ENSG00000112983.17",508,2886,1763,2110,1394,2130,2302,469,622,467
"ENSG00000112984.11",848,1502,602,654,1279,663,1605,352,213,143
"ENSG00000112992.16",1009,3569,615,1824,709,2224,701,554,1455,344
"ENSG00000112996.10",877,2183,5334,1732,2022,12895,1302,1000,1728,361
"ENSG00000113013.12",5852,13941,7780,21455,13380,7208,9807,2429,4825,2649
"ENSG00000113048.16",777,1390,1069,3430,2386,2031,2202,1008,700,805
"ENSG00000113068.9",813,2243,760,2508,2260,1388,1612,574,470,845
"ENSG00000113070.7",106,66,51,349,90,59,100,34,18,33
"ENSG00000113073.14",2,2,0,7,0,0,0,0,1,1
"ENSG00000113083.13",144,184,134,1401,1104,1511,820,896,246,634
"ENSG00000113088.5",16,34,32,8,1,75,26,12,27,64
"ENSG00000113100.9",0,2,0,0,0,0,2,0,0,0
"ENSG00000113108.19",36,844,164,393,201,550,355,32,150,115
"ENSG00000113119.12",156,459,113,275,178,370,354,78,86,69
"ENSG00000113140.10",9327,12928,11481,61256,29087,64348,23474,40298,13200,15615
"ENSG00000113141.17",1344,1919,1645,3767,2699,2271,1927,608,772,358
"ENSG00000113161.15",1012,1802,1524,2754,1322,1401,3713,522,922,1008
"ENSG00000113163.15",341,1129,1335,1556,759,942,1347,259,505,514
"ENSG00000113194.12",910,2413,1486,3534,2272,2092,2055,464,870,495
"ENSG00000113196.2",0,0,0,0,8,0,5,41,0,1
"ENSG00000113205.5",2,7,11,12,13,14,14,5,140,7
"ENSG00000113209.8",0,4,4,19,102,13,118,4,12,3
"ENSG00000113211.5",1,7,6,6,10,7,12,4,22,2
"ENSG00000113212.6",0,10,12,11,7,12,11,10,10,9
"ENSG00000113231.13",24,186,84,128,314,222,119,135,75,47
"ENSG00000113240.12",203,775,348,560,226,897,718,122,304,335
"ENSG00000113248.5",2,18,25,30,109,17,87,8,12,7
"ENSG00000113249.12",0,9,1,1,0,2,0,0,4,6
"ENSG00000113262.14",29,4,1,8,5,3,4,0,4,1
"ENSG00000113263.12",50,73,29,35,4,152,77,28,66,165
"ENSG00000113269.13",1882,1431,1178,2479,2447,1983,2082,969,908,1014
"ENSG00000113272.13",271,225,181,411,599,352,654,200,157,163
"ENSG00000113273.15",217,247,134,478,500,321,355,158,94,152
"ENSG00000113282.13",620,2654,1215,3052,1574,2070,2496,624,1023,764
"ENSG00000113296.14",57,47,1058,362,309,305,218,76,128,103
"ENSG00000113300.11",1121,1526,1362,1899,2104,1788,1975,507,623,477
"ENSG00000113302.4",0,5,2,4,1,2,8,2,3,27
"ENSG00000113303.11",0,1,0,1,14,2,2,2,0,8
"ENSG00000113312.10",589,1223,729,2838,2507,1224,1572,699,543,506
"ENSG00000113318.9",199,455,341,761,535,590,589,131,243,126
"ENSG00000113319.12",72,77,71,253,130,319,575,89,54,128
"ENSG00000113327.16",0,6,0,0,49,0,87,0,0,0
"ENSG00000113328.18",1368,2513,1847,2412,2741,1996,6316,1113,732,866
"ENSG00000113356.11",52,57,40,42,58,79,1518,49,69,33
"ENSG00000113360.16",1016,1484,738,1914,1531,1295,1732,468,1564,278
"ENSG00000113361.12",121,63,89,68,72,103,64,27,42,39
"ENSG00000113368.11",2505,1420,1363,1308,1794,974,2626,367,734,211
"ENSG00000113369.8",444,734,422,2254,542,2488,1537,627,731,961
"ENSG00000113384.13",1126,3861,2031,4651,2444,3228,3112,2317,4533,1461
"ENSG00000113387.11",3530,11247,4374,5700,9595,10574,8981,9750,5084,3920
"ENSG00000113389.15",3,11,26,94,51,457,53,68,22,22
"ENSG00000113391.18",212,580,338,847,739,745,524,218,389,237
"ENSG00000113396.12",10,141,36,1,7,4,77,10,8,2
"ENSG00000113407.13",2202,3076,1950,5630,2709,2037,4455,1810,3626,1118
"ENSG00000113430.9",17,2,2,2,318,46,28,62,84,50
"ENSG00000113441.15",770,1468,1177,2553,1310,2786,1460,568,745,539
"ENSG00000113448.18",19,49,23,65,91,95,147,140,121,261
"ENSG00000113456.18",469,1446,579,1136,531,970,948,641,997,361
"ENSG00000113460.12",1223,1879,778,1312,1135,825,1081,928,1080,342
"ENSG00000113492.13",0,6,0,4,0,3,4,0,4,0
"ENSG00000113494.16",1390,5559,637,12280,1420,4903,2888,606,13499,1915
"ENSG00000113504.20",151,1125,577,1477,390,939,669,340,783,113
"ENSG00000113520.10",1,1,1,0,4,1,2,0,2,1
"ENSG00000113522.13",38,53,23,107,47,110,77,25,39,8
"ENSG00000113525.9",0,4,2,5,2,4,3,0,1,0
"ENSG00000113532.12",236,343,164,196,112,356,249,254,95,320
"ENSG00000113552.15",804,2172,1021,2506,1640,1876,2982,581,860,411
"ENSG00000113555.5",278,188,402,302,154,240,122,113,115,97
"ENSG00000113558.18",1845,15026,5017,14288,6269,10996,10195,4033,3180,4097
"ENSG00000113569.15",1054,1681,917,1757,924,1138,1805,608,1549,400
"ENSG00000113575.9",2384,7502,3309,9039,5936,3540,4118,1147,1679,1519
"ENSG00000113578.17",23,87,56,339,168,245,310,279,117,83
"ENSG00000113580.14",378,1103,327,355,284,1107,743,307,593,592
"ENSG00000113583.7",430,4361,1281,3854,1448,3862,2738,1529,819,1467
"ENSG00000113593.11",300,553,296,773,312,791,878,154,270,212
"ENSG00000113594.9",78,360,194,477,350,130,542,151,449,146
"ENSG00000113595.14",163,677,264,978,216,849,690,166,159,210
"ENSG00000113597.17",216,818,299,1140,273,1034,1140,518,278,537
"ENSG00000113600.10",0,0,0,0,2,0,1,0,0,0
"ENSG00000113615.12",235,932,464,1536,332,1183,1484,352,502,728
"ENSG00000113621.14",760,3461,1247,2316,1976,2393,1544,1101,748,1009
"ENSG00000113638.13",114,365,97,293,89,462,222,244,232,161
"ENSG00000113643.8",816,1743,986,2878,1810,1258,1886,659,730,580
"ENSG00000113645.14",460,1765,965,2551,983,540,736,287,729,576
"ENSG00000113648.16",4244,12892,4795,13791,10077,6393,6432,2372,3268,2950
"ENSG00000113649.11",1151,2151,980,1796,1684,1422,2235,426,626,438
"ENSG00000113657.12",478,363,388,2952,2768,3779,8952,1253,808,953
"ENSG00000113658.16",487,1853,1579,2631,1617,2615,1941,684,772,649
"ENSG00000113712.17",222,1566,814,3383,601,3424,3262,917,1635,1005
"ENSG00000113716.12",482,3506,873,2479,1265,1645,1769,342,2520,456
"ENSG00000113719.15",1092,8270,10195,20489,6209,7395,7079,4391,9048,3740
"ENSG00000113721.13",860,1165,1257,2686,1443,1904,1117,919,826,700
"ENSG00000113722.16",8,10,4,21,1,7,5,9,5,11
"ENSG00000113732.8",2353,12295,4280,11790,5403,7510,7525,3227,3075,4561
"ENSG00000113734.17",137,467,155,577,330,284,431,177,139,177
"ENSG00000113739.10",251,421,3204,207946,1753,14885,1130,398,735,124
