"sample","BC1","BC2","BC3","BC4","BC5","BC6","BC7","BC12","BC9","BC10"
"ENSG00000005302.17",720,589,216,774,749,822,933,540,381,1028
"ENSG00000005339.14",1145,2030,1179,2952,2054,1888,1990,440,1382,460
"ENSG00000005379.15",73,897,1252,758,56,946,700,68,792,95
"ENSG00000005381.7",1,4,0,0,8,3,11,0,2,3
"ENSG00000005421.8",2,3,0,2,42,1,1,1,13,15
"ENSG00000005436.13",209,357,236,557,329,376,466,375,354,236
"ENSG00000005448.16",179,886,625,746,356,329,930,118,58,62
"ENSG00000005469.11",100,1111,208,595,161,393,319,509,1092,1642
"ENSG00000005471.15",4,51,27,40,14,33,26,18,8,10
"ENSG00000005483.20",534,2238,1143,1614,718,1651,1130,402,1444,471
"ENSG00000005486.16",745,4087,2588,5033,4266,2157,1212,639,1309,606
"ENSG00000005513.9",3,13,5,13,319,3,77,5,10,13
"ENSG00000005700.14",596,1972,1684,2594,1450,1691,1632,1685,740,533
"ENSG00000005801.16",804,1476,477,897,507,777,1502,638,220,538
"ENSG00000005810.17",1001,623,275,827,319,701,1014,324,451,661
"ENSG00000005812.10",411,1171,578,1582,698,1348,973,903,357,1275
"ENSG00000005844.17",196,459,95,267,69,451,283,136,170,439
"ENSG00000005882.11",175,322,1622,720,49,509,2010,178,462,58
"ENSG00000005884.17",273,919,6863,1687,591,699,5662,1230,426,132
"ENSG00000005889.15",693,1886,673,3233,995,3630,1428,904,1273,1227
"ENSG00000005893.15",2392,4359,1655,6545,2565,5046,3622,3913,2834,2148
"ENSG00000005961.17",11,421,9,17,17,34,94,3,17,9
"ENSG00000005981.12",1,0,0,1,0,1,0,0,12,0
"ENSG00000006007.11",742,1823,1302,5556,1119,1913,2081,1173,2239,724
"ENSG00000006015.17",330,1263,363,702,676,540,1267,501,757,546
"ENSG00000006016.10",12,31,40,33,751,26,151,16,10,24
"ENSG00000006025.11",45,131,22,269,49,248,258,19,258,105
"ENSG00000006042.11",567,103,118,2317,985,1536,1135,566,210,654
"ENSG00000006047.12",61,1183,13,241,401,273,343,247,13,73
"ENSG00000006059.3",0,1,0,167,2,19,2,4,7,3
"ENSG00000006062.14",75,212,205,466,92,268,215,66,163,150
"ENSG00000006071.12",1,963,181,160,263,95,121,13,249,34
"ENSG00000006116.3",0,0,0,0,4,0,0,0,0,0
"ENSG00000006118.14",1760,8885,947,10764,1693,1184,1865,1411,4063,1868
"ENSG00000006125.17",1920,4195,2652,11605,4502,5208,6441,2022,4398,1012
"ENSG00000006128.11",1,2,19,10,10,0,19,12,1,1
"ENSG00000006194.9",538,1418,1236,2706,1286,1118,1210,492,499,351
"ENSG00000006210.6",1210,94,194,605,811,409,141,112,290,118
"ENSG00000006282.20",102,3427,6870,1875,704,1877,7233,775,2547,331
"ENSG00000006283.17",1,1,5,64,2,16,50,1,14,0
"ENSG00000006327.13",212,346,927,8320,1611,849,1505,434,480,226
"ENSG00000006377.10",1,1,0,2,0,0,0,2,1,2
"ENSG00000006432.15",354,283,234,423,341,149,860,110,295,93
"ENSG00000006451.7",1046,2565,1336,2974,2524,1751,1846,1236,1555,991
"ENSG00000006453.13",318,2142,660,1157,893,283,671,189,633,308
"ENSG00000006459.10",280,636,281,652,925,677,903,390,403,314
"ENSG00000006468.13",44,95,42,233,101,378,798,246,82,111
"ENSG00000006530.15",98,185,134,451,247,320,294,95,197,83
"ENSG00000006534.15",103,81,61,551,152,144,116,145,93,54
"ENSG00000006555.10",77,8,4,5,65,25,34,5,57,12
